name,year,rank,rate
Blade Runner,(1982),176.
On the Waterfront,(1954),177.
Bacheha-Ye aseman,(1997),178.
The Third Man,(1949),179.
Before Sunrise,(1995),180.
Ben-Hur,(1959),181.
12 Years a Slave,(2013),182.
Smultronstället,(1957),183.
Harry Potter and the Deathly Hallows: Part 2,(2011),184.
Gone Girl,(2014),185.
The General,(1926),186.
The Deer Hunter,(1978),187.
In the Name of the Father,(1993),188.
The Grand Budapest Hotel,(2014),189.
Barry Lyndon,(1975),190.
Mr. Smith Goes to Washington,(1939),191.
Le salaire de la peur,(1953),192.
Everything Everywhere All at Once,(2022),193.
Hacksaw Ridge,(2016),194.
Sherlock Jr.,(1924),195.
Salinui chueok,(2003),196.
Klaus,(2019),197.
Relatos salvajes,(2014),198.
Det sjunde inseglet,(1957),199.
Room,(2015),200.
Mad Max: Fury Road,(2015),201.
How to Train Your Dragon,(2010),202.
The Big Lebowski,(1998),203.
Mary and Max.,(2009),204.
Jaws,(1975),205.
"Monsters, Inc.",(2001),206.
Tôkyô monogatari,(1953),207.
Dead Poets Society,(1989),208.
La passion de Jeanne d'Arc,(1928),209.
Hotel Rwanda,(2004),210.
Rocky,(1976),211.
Ford v Ferrari,(2019),212.
Platoon,(1986),213.
Pather Panchali,(1955),214.
Stand by Me,(1986),215.
The Terminator,(1984),216.
Spotlight,(2015),217.
Rush,(2013),218.
Logan,(2017),219.
Network,(1976),220.
Ratatouille,(2007),221.
Into the Wild,(2007),222.
The Wizard of Oz,(1939),223.
Groundhog Day,(1993),224.
Before Sunset,(2004),225.
The Exorcist,(1973),226.
The Best Years of Our Lives,(1946),227.
The Incredibles,(2004),228.
To Be or Not to Be,(1942),229.
La battaglia di Algeri,(1966),230.
The Grapes of Wrath,(1940),231.
Rebecca,(1940),232.
Hachi: A Dog's Tale,(2009),233.
Cool Hand Luke,(1967),234.
Amores perros,(2000),235.
Pirates of the Caribbean: The Curse of the Black Pearl,(2003),236.
La haine,(1995),237.
Jai Bhim,(2021),238.
Babam ve Oglum,(2005),239.
Les quatre cents coups,(1959),240.
Persona,(1966),241.
It Happened One Night,(1934),242.
The Sound of Music,(1965),243.
Life of Brian,(1979),244.
Ah-ga-ssi,(2016),245.
Dersu Uzala,(1975),246.
Aladdin,(1992),247.
Gandhi,(1982),248.
The Help,(2011),249.
The Iron Giant,(1999),250.
9.2
9.2
9.0
9.0
8.9
8.9
8.9
8.8
8.8
8.8
8.8
8.7
8.7
8.7
8.7
8.7
8.7
8.6
8.6
8.6
8.6
8.6
8.6
8.6
8.6
8.6
8.6
8.6
8.5
8.5
8.5
8.5
8.5
8.5
8.5
8.5
8.5
8.5
8.5
8.5
8.5
8.5
8.5
8.5
8.5
8.5
8.4
8.4
8.4
8.4
8.4
8.4
8.4
8.4
8.4
8.4
8.4
8.4
8.4
8.4
8.4
8.4
8.4
8.4
8.4
8.3
8.3
8.3
8.3
8.3
8.3
8.3
8.3
8.3
8.3
8.3
8.3
8.3
8.3
8.3
8.3
8.3
8.3
8.3
8.3
8.3
8.3
8.3
8.3
8.3
8.3
8.3
8.3
8.3
8.3
8.3
8.3
8.3
8.2
8.2
8.2
8.2
8.2
8.2
8.2
8.2
8.2
8.2
8.2
8.2
8.2
8.2
8.2
8.2
8.2
8.2
8.2
8.2
8.2
8.2
8.2
8.2
8.2
8.2
8.2
8.2
8.2
8.2
8.2
8.2
8.2
8.2
8.2
8.2
8.2
8.2
8.2
8.2
8.2
8.2
8.2
8.2
8.2
8.2
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.1
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
8.0
